Host Name,Entire home/apts,Private rooms,Shared rooms,Hotel Rooms,Total Listings
Blueground,415,0,0,0,415
Eugene,4,0,396,0,400
Michael,187,0,108,4,299
David,176,0,96,2,274
June,37,0,195,0,232
Hiroki,9,0,198,0,207
Daniel,142,0,53,1,196
Shogo,5,0,187,0,192
Jeniffer,175,0,6,0,181
Momoyo,5,0,173,0,178
Kristina,61,0,107,1,169
John,102,0,58,4,164
Alex,83,0,75,1,159
Urban Furnished,156,0,0,0,156
Maria,73,0,74,1,148
Justin,21,0,122,0,143
Anthony,63,0,74,2,139
Ken,131,0,3,1,135
Andrew,91,0,43,0,134
Anna,76,0,57,0,133
Michelle,69,0,57,1,127
RoomPicks,86,0,40,0,126
Kaz,6,0,119,0,125
Stay With Vibe,124,0,0,0,124
Sarah,78,0,42,1,121
James,68,0,49,1,118
Jonathan,71,0,46,0,117
Chris,62,0,48,1,111
Jessica,70,0,37,1,108
Rachel,60,0,45,0,105
SharedEasy,0,0,76,29,105
Joseph,55,0,44,1,100
Avi,98,0,2,0,100
Kevin,62,0,36,1,99
Jason,71,0,26,0,97
Stanley,77,10,10,0,97
Mark,66,0,29,0,95
Jennifer,62,1,31,1,95
Jose,30,0,63,1,94
Mike,52,0,36,4,92
Sam,56,0,34,0,90
Laura,51,0,37,0,88
Robert,63,0,25,0,88
Ryan,51,0,34,1,86
Karen,48,0,37,1,86
Emily,55,0,30,0,85
Amy,51,0,33,0,84
Peter,53,0,31,0,84
Christopher,51,0,31,2,84
Matt,63,0,16,1,80
Nicole,51,0,26,1,78
Eric,48,0,29,0,77
Elizabeth,51,0,25,0,76
Julia,49,0,24,0,73
Blake,9,0,62,0,71
Benjamin,49,0,22,0,71
Alexander,44,0,26,1,71
Stephanie,42,0,28,0,70
Ben,36,0,32,2,70
Mikey,0,0,69,0,69
Alexandra,42,0,24,3,69
Nick,42,0,26,0,68
Ashley,43,0,25,0,68
Melissa,37,0,30,0,67
Andrea,39,0,26,1,66
Adam,47,0,19,0,66
Patricia,30,0,35,1,66
Nina,47,0,18,0,65
Steven,41,0,24,0,65
Matthew,44,0,21,0,65
Nathan,52,0,12,0,64
Sara,46,0,17,1,64
Brian,39,0,23,2,64
Thomas,41,0,23,0,64
MyNyHousing,63,0,0,0,63
Lauren,41,0,22,0,63
Paul,40,0,23,0,63
Sonder (NYC),24,0,39,0,63
Mary,33,0,29,1,63
The Local Stay,60,0,2,0,62
Natalie,44,0,17,1,62
Ana,30,0,31,1,62
Ali,33,0,28,0,61
Angela,23,0,37,0,60
Boomerang,59,0,0,0,59
Vanessa,24,0,35,0,59
Eliza,5,0,54,0,59
Carlos,28,0,30,0,58
Jeremy,51,0,6,1,58
Stat,0,0,57,0,57
Lisa,36,0,20,1,57
Oleksandr,0,0,55,1,56
Diana,18,0,38,0,56
Victor,20,0,32,4,56
Dan,33,1,21,0,55
George,34,0,21,0,55
Amanda,31,0,23,1,55
Aleph,2,0,52,0,54
Linda,27,0,27,0,54
William,26,0,26,1,53
Juan,26,0,25,1,52
Susan,27,0,25,0,52
Patrick,30,0,18,3,51
Christina,26,0,25,0,51
Carol,15,0,36,0,51
Jay,31,0,20,0,51
Joel,20,0,31,0,51
Hannah,27,0,22,1,50
RoomPicks By Antony,0,0,50,0,50
Jacqueline,29,0,15,5,49
Luis,26,0,22,0,48
Tony,28,0,20,0,48
Richard,32,0,16,0,48
Sandra,18,0,28,1,47
Marie,28,0,17,2,47
Samantha,23,0,24,0,47
Rebecca,24,0,23,0,47
Tyler,7,0,40,0,47
Joe,31,0,13,2,46
Scott,36,0,10,0,46
Sean,31,0,14,0,45
Christine,21,0,24,0,45
Joshua,25,0,20,0,45
Yana,38,0,7,0,45
Nomad,34,0,11,0,45
Inna,44,0,1,0,45
Heather,21,0,19,4,44
Shoreham,44,0,0,0,44
Christian,12,0,25,7,44
Eibhlin,0,0,44,0,44
Julie,29,0,14,0,43
Jeff,32,0,11,0,43
Emma,34,0,8,1,43
Charles,24,0,18,1,43
Katie,22,0,21,0,43
Marc,30,0,12,1,43
Javier,12,0,30,0,42
Tom,33,0,9,0,42
Sharon,24,0,17,1,42
Tiffany,31,0,11,0,42
Danielle,20,0,21,0,41
Liz,18,0,10,13,41
Steve,14,0,26,0,40
Alexis,16,0,23,1,40
Taylor,28,0,11,1,40
Eran,40,0,0,0,40
Nicholas,25,0,14,1,40
Katherine,21,0,17,1,39
Wendy,19,0,20,0,39
Monica,23,0,15,1,39
Hannah M.,39,0,0,0,39
Sonia,18,0,20,0,38
Josh,22,0,16,0,38
Aaron,25,0,13,0,38
Victoria,24,0,14,0,38
Marina,21,0,17,0,38
Annie,25,0,13,0,38
Ian,23,0,13,1,37
Kyle,17,0,20,0,37
Samuel,21,0,15,1,37
Kristina & Jack,6,0,31,0,37
Rafael,16,0,21,0,37
Rob,19,0,17,1,37
Cindy,9,0,24,4,37
Jordan,14,0,23,0,37
Kate,25,0,11,1,37
Ruth,14,0,19,3,36
Caroline,19,0,17,0,36
Gisele,30,0,6,0,36
Megan,17,0,19,0,36
Katya,8,0,28,0,36
Jorge,16,0,20,0,36
Zeus,36,0,0,0,36
Casey,28,0,7,0,35
Andy,21,0,14,0,35
Jenny,19,0,16,0,35
Max,14,0,21,0,35
Tim,21,0,13,0,34
Frank,13,0,21,0,34
Kimberly,17,0,15,1,33
Erin,23,0,10,0,33
Tara,15,0,18,0,33
Brandon,19,0,13,1,33
Greg,22,0,10,0,32
Central Park Apartments,32,0,0,0,32
Kim,17,0,15,0,32
Martin,20,0,12,0,32
Cristina,18,0,14,0,32
Gabriel,22,0,9,0,31
Sophia,11,0,20,0,31
AFI Apartments,31,0,0,0,31
Fukuda,0,0,31,0,31
Jt,30,0,1,0,31
Lindsay,20,0,10,1,31
Grace,18,0,13,0,31
Eva,21,0,9,0,30
Evan,23,0,7,0,30
Alicia,16,0,14,0,30
Vida,29,1,0,0,30
CRNY Monthly Rentals,30,0,0,0,30
Rose,18,0,11,0,29
Jack,15,0,14,0,29
Daniela & James,0,0,29,0,29
Catherine,18,0,10,1,29
Isaac,22,0,7,0,29
Jimmy,8,0,21,0,29
Claire,17,0,12,0,29
RoomPicks By Victoria,14,0,15,0,29
Jon,19,0,10,0,29
Natasha,14,0,14,1,29
Live Suite,29,0,0,0,29
Antonio,9,0,19,0,28
Manuel,11,0,17,0,28
Leo,19,0,9,0,28
Veronica,10,0,10,8,28
Alan,13,0,15,0,28
Lana,10,0,18,0,28
Carmen,16,0,11,1,28
Albert,12,0,16,0,28
Leah,8,0,20,0,28
Casamia 36,0,27,1,0,28
Kelly,19,0,9,0,28
Daniela,12,0,15,1,28
Nancy,22,0,6,0,28
Julian,14,0,14,0,28
Kay,9,0,19,0,28
Aamer,0,0,28,0,28
Jeffrey,16,0,11,0,27
Roger,19,0,8,0,27
Deborah,16,0,11,0,27
Oscar,18,0,9,0,27
BP Hosting,0,0,27,0,27
